name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
morocco,2022-01-01,69.8,42.8,54.2,69.8,42.8,54.1,49.1,86.2,0.004,100,4.17,rain,0,0,10.7,5.8,263.7,1024.2,2.4,3.4,140.3,12.2,6,,2022-01-01T08:32:58,2022-01-01T18:29:02,0.95,Rain,Clear conditions throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-02,64.4,41,52.3,64.4,41,52.3,51.5,97.3,0.008,100,8.33,rain,0,0,11,6.2,5,1026.2,56.2,1.8,122.5,10.6,5,,2022-01-02T08:33:09,2022-01-02T18:29:47,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"60146099999,60120099999,60135099999,GMME"
morocco,2022-01-03,60.9,44.6,52.7,60.9,43.4,52.6,52,97.6,0.02,100,20.83,rain,0,0,9.8,5.8,308.3,1024.6,77,1,131.2,11.3,5,,2022-01-03T08:33:18,2022-01-03T18:30:34,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-04,60.8,44.6,54.4,60.8,44.6,54.3,52.8,94.6,0.032,100,12.5,rain,0,0,25.7,11.9,249.6,1021.8,83.1,1.5,133.7,11.5,5,,2022-01-04T08:33:26,2022-01-04T18:31:22,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-05,62,44.4,54.2,62,44.4,53.8,48.5,82.8,0.016,100,4.17,rain,0,0,14.1,8.1,64.3,1023.5,50.1,3.7,118.8,10.3,5,,2022-01-05T08:33:31,2022-01-05T18:32:11,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-06,60.8,41,51.5,60.8,41,51.2,49,92.3,0.276,100,8.33,rain,0,0,21.5,12.8,234.6,1020.9,70.3,3.1,65.7,5.6,3,,2022-01-06T08:33:35,2022-01-06T18:33:01,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-07,62,42.8,50.9,62,41.1,50.5,47,87.9,0.004,100,4.17,rain,0,0,15.2,9.2,57.4,1023.5,31.1,3.1,134.4,11.7,5,,2022-01-07T08:33:37,2022-01-07T18:33:51,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-08,64.4,37.4,48.5,64.4,33.6,47.7,42.3,83.3,0.008,100,8.33,rain,0,0,15,8.1,79.9,1025.3,8.6,2.9,142.1,12.2,6,,2022-01-08T08:33:37,2022-01-08T18:34:43,0.19,Rain,Clear conditions throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-09,64.4,37.4,49,64.4,33.6,48,43.2,84.2,0.004,100,4.17,rain,0,0,13.4,9.2,70,1026.1,1.9,3.5,149,13,6,,2022-01-09T08:33:35,2022-01-09T18:35:35,0.25,Rain,Clear conditions throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-10,59.1,41,51.5,59.1,40.1,50.8,49.2,92.2,0.012,100,12.5,rain,0,0,10.3,8.1,99.7,1022,70.1,3.3,129,11.1,5,10,2022-01-10T08:33:31,2022-01-10T18:36:29,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-11,62.6,48.2,56.6,62.6,48.2,56.6,52.4,86.4,0,0,0,rain,0,0,7.6,8.1,70.4,1018.2,68,3.5,90.1,7.7,5,10,2022-01-11T08:33:26,2022-01-11T18:37:22,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-12,66.4,39.2,52,66.4,39.2,51.7,47.4,86.9,0,0,0,,0,0,9.6,7.2,6.4,1019.2,9.7,3.7,134.9,11.7,5,10,2022-01-12T08:33:18,2022-01-12T18:38:17,0.32,Clear,Clear conditions throughout the day.,clear-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-13,66.4,43.1,52.5,66.4,42.1,52.2,46.9,84.1,0.004,100,4.17,rain,0,0,5.8,6.9,17.1,1021,0.7,3.2,168.3,14.6,6,10,2022-01-13T08:33:09,2022-01-13T18:39:12,0.35,Rain,Clear conditions throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-14,67.7,39.6,50.5,67.7,37.9,50,43.7,82.1,0,0,0,,0,0,5.4,4.7,208,1023.5,3.3,3.3,145.7,12.6,6,10,2022-01-14T08:32:58,2022-01-14T18:40:08,0.38,Clear,Clear conditions throughout the day.,clear-day,"60146099999,60120099999,60135099999,GMME"
morocco,2022-01-15,66.2,42.8,51.3,66.2,40,50.5,43.5,79.3,0.004,100,4.17,rain,0,0,6.3,6.9,122.9,1024.6,9.3,4.1,144.7,12.4,6,10,2022-01-15T08:32:45,2022-01-15T18:41:04,0.42,Rain,Clear conditions throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,GMME"
morocco,2022-01-16,68,42.8,53.3,68,40,53,46.8,82.9,0.004,100,4.17,rain,0,0,14.3,9.2,71.3,1025.7,0.5,3.7,148.9,12.9,6,10,2022-01-16T08:32:30,2022-01-16T18:42:01,0.45,Rain,Clear conditions throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,GMME"
morocco,2022-01-17,64.4,37.1,49.8,64.4,35.7,49.5,45.4,87.3,0.004,100,4.17,rain,0,0,7.2,5.6,243.9,1025.6,10.8,3.1,150.4,13.1,6,10,2022-01-17T08:32:13,2022-01-17T18:42:59,0.48,Rain,Clear conditions throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,GMME"
morocco,2022-01-18,62.6,39.2,49.5,62.6,37,49.2,47,92.2,0,0,0,,0,0,6.3,5.8,194.3,1025.4,34.5,3.3,96.7,8.4,4,10,2022-01-18T08:31:54,2022-01-18T18:43:56,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,GMME"
morocco,2022-01-19,64.4,39.2,50.9,64.4,37,50.8,45.8,85.7,0.004,100,4.17,rain,0,0,8.9,6.9,6,1025.4,38.4,3.5,148.7,12.9,6,10,2022-01-19T08:31:34,2022-01-19T18:44:54,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-20,66.2,35.6,47.9,66.2,31.5,47.2,42,83.7,0.004,100,4.17,rain,0,0,8.1,6.9,74.1,1022.1,4.9,3.4,167.4,14.5,6,10,2022-01-20T08:31:12,2022-01-20T18:45:53,0.59,Rain,Clear conditions throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-21,60.8,39.2,48.3,60.8,35.7,47.3,44.1,86.8,0.004,100,4.17,rain,0,0,7.2,6.5,118.4,1019.4,1.7,3.7,151.8,13.2,6,10,2022-01-21T08:30:48,2022-01-21T18:46:52,0.62,Rain,Clear conditions throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-22,73.4,34.1,55.1,73.4,31.2,54.4,40.2,63.9,0.004,100,4.17,rain,0,0,18.3,11,109.2,1017.7,11.1,3.7,118.4,10.2,5,10,2022-01-22T08:30:22,2022-01-22T18:47:51,0.66,Rain,Clear conditions throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-23,67.4,50,58.9,67.4,50,58.9,50.7,75.7,0,0,0,,0,0,11.6,10.3,243.8,1017.9,23,3.6,127.4,11.1,6,10,2022-01-23T08:29:55,2022-01-23T18:48:50,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-24,64.5,50,57.5,64.5,48.4,57.4,55.8,94.6,0.024,100,4.17,rain,0,0,18.1,11.4,244.3,1019.3,51.9,3.1,103.2,9,4,10,2022-01-24T08:29:26,2022-01-24T18:49:49,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-25,68,42.8,55.7,68,41.1,55.4,49.8,83.6,0.004,100,4.17,rain,0,0,13.9,8.1,87.6,1018.9,50.6,3.1,108.7,9.4,5,10,2022-01-25T08:28:55,2022-01-25T18:50:48,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-26,64.4,46.4,54.6,64.4,45,54.4,49.8,85.5,0.004,100,4.17,rain,0,0,12.5,8.1,20.3,1017.7,33.2,3.7,135.3,11.7,6,10,2022-01-26T08:28:22,2022-01-26T18:51:48,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-27,68.3,46.4,56.3,68.3,45.6,56.1,48.6,78.2,0.004,100,4.17,rain,0,0,14.1,10.3,25,1018.4,21.7,3.2,157.3,13.6,6,10,2022-01-27T08:27:48,2022-01-27T18:52:47,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-28,73.4,44.6,57.7,73.4,43.2,57.5,44.2,67,0,0,0,,0,0,17.2,12.8,117.3,1019.5,31.5,3.3,119.3,10.3,5,10,2022-01-28T08:27:12,2022-01-28T18:53:47,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-29,73.4,50,59.7,73.4,47.7,59.5,41.4,52.4,0,0,0,rain,0,0,9.4,8.1,110,1021.1,21.2,3.4,96.7,8.3,5,10,2022-01-29T08:26:35,2022-01-29T18:54:47,0.9,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-30,73.3,42.8,56.3,73.3,41.1,56,42,64.7,0,0,0,,0,0,8.3,6.9,213.1,1021.8,21,3.2,132,11.6,5,10,2022-01-30T08:25:55,2022-01-30T18:55:46,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-01-31,69.8,46.4,55.5,69.8,45,55.4,48.2,78.4,0,0,0,,0,0,11.4,8.1,23.9,1024.3,25.9,3.1,127.3,10.9,5,10,2022-01-31T08:25:15,2022-01-31T18:56:46,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2022-02-01,69.8,37.4,53,69.8,37.4,52.9,45.1,80.5,0,0,0,,0,0,9.4,8.1,20,1025.1,6.3,3.1,196.6,17,7,10,2022-02-01T08:24:32,2022-02-01T18:57:45,0,Clear,Clear conditions throughout the day.,clear-day,"60146099999,60120099999,60135099999,F3955,GMME"
