name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
morocco,2023-01-18,60.5,51.8,56.6,60.5,51.8,56.6,51.1,82.8,0.645,100,16.67,rain,0,0,25.3,15,332.3,1019.1,80.5,3.1,74.1,6.2,3,10,2023-01-18T08:32:00,2023-01-18T18:43:43,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-19,60.8,42.8,51.8,60.8,42.8,51.5,45.6,81.9,0.039,100,4.17,rain,0,0,18.1,11.9,47.8,1025,54.6,3.4,141.6,12.3,6,10,2023-01-19T08:31:40,2023-01-19T18:44:41,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-20,64.4,42.8,53.5,64.4,41.7,52.9,46.9,79.9,0,0,0,,0,0,13.6,8.1,204.2,1024.3,75,3.7,135.5,11.8,6,10,2023-01-20T08:31:18,2023-01-20T18:45:39,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-21,63.9,50,55.7,63.9,50,55.7,53.9,94.1,0.039,100,4.17,rain,0,0,14.8,9.2,231.3,1021.1,76.5,3.5,80.8,6.9,4,10,2023-01-21T08:30:55,2023-01-21T18:46:38,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-22,62.6,46.4,54.8,62.6,46.3,54.7,51.9,91,0.004,100,4.17,rain,0,0,15.2,6.9,42.1,1020.1,64.9,3.6,110.5,9.5,5,10,2023-01-22T08:30:29,2023-01-22T18:47:37,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-23,60.1,33.9,45.7,60.1,31.1,45.2,38.9,80,0,0,0,,0,0,17,11.4,32.9,1018.7,1.5,3.1,146.5,12.7,6,10,2023-01-23T08:30:02,2023-01-23T18:48:36,0.05,Clear,Clear conditions throughout the day.,clear-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-24,57.2,33.8,44.4,57.2,32.9,44.3,37.9,81.9,0,0,0,,0,0,17.2,10.3,16.1,1018.2,22.4,3.2,147.3,12.6,6,10,2023-01-24T08:29:34,2023-01-24T18:49:35,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-25,58.7,37.4,46.2,58.7,32,45.6,38.5,78.9,0,0,0,,0,0,17.4,10.3,65.1,1020,44.7,3.4,145,12.6,6,10,2023-01-25T08:29:03,2023-01-25T18:50:34,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-26,60.8,33.8,47.6,60.8,30.9,47.3,38.9,75.6,0.004,100,4.17,rain,0,0,31.1,16.1,287.6,1021.8,28,3.2,149.4,13.1,6,10,2023-01-26T08:28:31,2023-01-26T18:51:34,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-27,57.2,44.6,51.1,57.2,41.5,49.3,45.7,84.3,0.417,100,12.5,rain,0,0,20.6,19.5,234.8,1016.9,72,3.3,125,10.8,6,10,2023-01-27T08:27:57,2023-01-27T18:52:33,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-28,57.2,35.6,47.5,57.2,35.6,45.6,41.9,82.8,0.016,100,4.17,rain,0,0,26.4,14.8,203,1017.5,64.1,3.1,108.1,9.4,5,10,2023-01-28T08:27:22,2023-01-28T18:53:33,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-29,59,35.6,46.8,59,31.7,45.1,37.3,72.6,0,0,0,,0,0,10.1,9.2,90.9,1018.9,42.6,3.1,151.8,13,6,10,2023-01-29T08:26:44,2023-01-29T18:54:33,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-30,59.2,35.6,49.1,59.2,35.6,48.5,40.6,74.9,0,0,0,,0,0,17.2,8.1,104.7,1020,55.9,3.4,171.5,14.8,7,10,2023-01-30T08:26:06,2023-01-30T18:55:32,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,GMME"
morocco,2023-01-31,68,41.3,52.7,68,37.4,51.3,39.1,65.5,0,0,0,,0,0,15.9,9.2,81.9,1023.1,21.9,3.1,167,14.5,7,10,2023-01-31T08:25:25,2023-01-31T18:56:32,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-01,62.6,32,47,62.6,32,46.7,42,85.4,0,0,0,,0,0,15.7,6.9,281.7,1024.1,2.1,3.1,155.7,13.4,6,10,2023-02-01T08:24:43,2023-02-01T18:57:31,0.36,Clear,Clear conditions throughout the day.,clear-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-02,64.4,35.6,48.6,64.4,35,47.8,39.6,76.3,0.004,100,4.17,rain,0,0,18.8,10.3,57.6,1024.7,3.9,3.7,163.7,14.1,6,10,2023-02-02T08:24:00,2023-02-02T18:58:30,0.39,Rain,Clear conditions throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-03,66.2,35.6,50.2,66.2,34.7,48.7,38.2,67.7,0,0,0,,0,0,24.2,13.9,95.1,1025.2,0,3.7,166.2,14.3,6,10,2023-02-03T08:23:15,2023-02-03T18:59:30,0.42,Clear,Clear conditions throughout the day.,clear-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-04,64.4,35.6,49.9,64.4,32.7,48.5,38.3,67.4,0,0,0,,0,0,14.3,13.9,86.9,1025.6,0.1,3.7,164.1,14.3,6,10,2023-02-04T08:22:28,2023-02-04T19:00:29,0.46,Clear,Clear conditions throughout the day.,clear-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-05,60.8,35.3,47.7,60.8,32.5,47.1,42.3,83.6,0,0,0,,0,0,12.5,5.9,248.1,1025.1,12,3.2,135.3,11.8,5,10,2023-02-05T08:21:41,2023-02-05T19:01:27,0.5,Clear,Clear conditions throughout the day.,clear-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-06,60.9,37.4,48.2,60.9,35,47.5,44.8,89.2,0,0,0,,0,0,16.6,5.8,258.3,1020.8,30.4,3.2,162.5,14.1,6,10,2023-02-06T08:20:51,2023-02-06T19:02:26,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-07,62.8,41,50.4,62.8,37.9,49.8,45.7,85.9,0.008,100,8.33,rain,0,0,19.5,7.3,237.2,1016.4,38.6,3,128.1,11.1,5,10,2023-02-07T08:20:00,2023-02-07T19:03:24,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-08,62.6,48.2,55.6,62.6,45,55.2,48.6,78.7,0,0,0,rain,0,0,24.2,17.2,224.5,1018,65.9,3.1,116.4,10.1,6,10,2023-02-08T08:19:08,2023-02-08T19:04:22,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-09,67.7,44.6,56.3,67.7,44.6,56.1,48.7,78.4,0,0,0,,0,0,15.4,12.8,39.4,1021.3,26.7,3.1,168.5,14.6,6,10,2023-02-09T08:18:15,2023-02-09T19:05:20,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-10,62.6,49.7,57.8,62.6,47.4,57.7,41.5,55.4,0,0,0,,0,0,30,16.1,108.3,1020.2,71.1,3.4,66.1,5.8,4,10,2023-02-10T08:17:20,2023-02-10T19:06:18,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-11,71.6,51.8,60.4,71.6,51.8,60.4,42.2,52.7,0,0,0,,0,0,17.9,11.4,89.2,1019.9,44.5,4.3,166.8,14.5,6,10,2023-02-11T08:16:24,2023-02-11T19:07:15,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-12,75.2,51.8,61.9,75.2,51.8,61.9,43.7,54.5,0,0,0,,0,0,20.4,15,92.2,1021.9,28.8,3.7,166.8,14.5,6,10,2023-02-12T08:15:27,2023-02-12T19:08:12,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-13,71.6,41,57.1,71.6,37.7,56.7,44.3,65.2,0,0,0,,0,0,13.6,6.9,85.4,1021.8,36.2,3.8,134.7,11.6,6,10,2023-02-13T08:14:28,2023-02-13T19:09:09,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-14,70.1,55.4,61.1,70.1,55.4,61.1,53.5,78.4,0,0,0,rain,0,0,19,7.7,247.7,1022.1,62.3,3.3,115.9,10.1,6,10,2023-02-14T08:13:28,2023-02-14T19:10:05,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-15,65.8,56.9,60.3,65.8,56.9,60.3,55.8,86.6,0.035,100,8.33,rain,0,0,16.3,9.2,263.5,1019.6,85,3.2,103.5,8.9,5,10,2023-02-15T08:12:28,2023-02-15T19:11:01,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-16,66.2,53.6,58.2,66.2,53.6,58.2,55.1,90.7,0.142,100,8.33,rain,0,0,17,9.2,124,1020.1,83.8,3.1,135.1,11.7,5,10,2023-02-16T08:11:25,2023-02-16T19:11:57,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60146099999,60120099999,60135099999,GMME"
morocco,2023-02-17,69.6,50,60.3,69.6,50,60.3,52.3,76.4,0,0,0,,0,0,12.3,8.1,81.4,1017.2,77,3.1,54.8,4.6,2,10,2023-02-17T08:10:22,2023-02-17T19:12:52,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
