name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
morocco,2021-01-01,55.4,41,50.1,55.4,36.4,48.6,48.1,93.1,0.173,100,12.5,rain,0,0,20.1,12.5,228,1018,64.6,3.4,53.9,4.6,2,,2021-01-01T08:33:01,2021-01-01T18:29:12,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2021-01-02,57.2,46.4,51.9,57.2,45.4,51.4,46.4,83.7,0.346,100,20.83,rain,0,0,20.8,9.2,315.2,1017.6,54.2,4,99.7,8.3,6,,2021-01-02T08:33:11,2021-01-02T18:29:58,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2021-01-03,59,39.2,48.3,59,39.2,47.5,42,81.7,0.012,100,8.33,rain,0,0,11.9,6.9,71.1,1017.9,43.5,4.5,140.3,12.2,6,,2021-01-03T08:33:20,2021-01-03T18:30:45,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2021-01-04,59,37.4,46.9,59,35.2,45,38.5,74.9,0.004,100,4.17,rain,0,0,15,10.3,137.1,1014.8,22.8,4.6,141.2,12.2,6,,2021-01-04T08:33:27,2021-01-04T18:31:33,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2021-01-05,55.4,46.1,49.7,55.4,42.9,48.3,46.4,88.7,0.669,100,16.67,rain,0,0,38.9,12.8,107.9,1008.2,89,4.1,28.7,2.4,1,,2021-01-05T08:33:32,2021-01-05T18:32:22,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2021-01-06,64.4,49.7,55.2,64.4,47.7,55,53.8,95.4,0.484,100,20.83,rain,0,0,30.6,18.3,178,1005,89.8,2.9,38.3,3.2,2,,2021-01-06T08:33:35,2021-01-06T18:33:12,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2021-01-07,64.4,59,61.1,64.4,59,61.1,60.1,96.4,3.267,100,33.33,rain,0,0,35.3,23,234.9,1003.6,87.2,2.8,38.6,3.4,2,,2021-01-07T08:33:36,2021-01-07T18:34:03,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2021-01-08,66.2,55.4,59.8,66.2,55.4,59.8,57.5,92.5,1.473,100,33.33,rain,0,0,43.8,28.9,232.4,1000.9,89.6,3.4,43.8,3.9,2,,2021-01-08T08:33:36,2021-01-08T18:34:55,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"60120099999,60135099999,F3955,GMME"
morocco,2021-01-09,57.2,46.4,52,57.2,40.3,50.9,45.8,79.9,0.669,100,29.17,rain,0,0,36.2,20.5,255.8,1007.9,87.3,3.4,76.4,6.5,4,,2021-01-09T08:33:34,2021-01-09T18:35:48,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2021-01-10,51.8,46,47.6,51.8,39.5,43.3,44.7,89.9,1.849,100,33.33,rain,0,0,33.1,18.3,230.8,1010.1,88.7,3.2,89.7,7.7,4,,2021-01-10T08:33:29,2021-01-10T18:36:41,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2021-01-11,55.5,42.2,47.7,55.5,39.6,46.3,43.1,85.5,0.473,100,20.83,rain,0,0,24.2,10.3,229.1,1018.5,69.5,3.4,109.7,9.4,5,,2021-01-11T08:33:23,2021-01-11T18:37:35,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2021-01-12,59,39.2,47.7,59,36.7,46.3,41.4,81.3,0.004,100,4.17,rain,0,0,16.8,10.3,100.1,1026.1,1.4,4.6,155.2,13.6,6,,2021-01-12T08:33:15,2021-01-12T18:38:30,0.97,Rain,Clear conditions throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2021-01-13,59,37.4,46.9,59,35,46.6,41.6,83.4,0.004,100,4.17,rain,0,0,11.2,6.9,23.3,1028.7,1.9,5,149.5,13.1,6,,2021-01-13T08:33:06,2021-01-13T18:39:25,0,Rain,Clear conditions throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2021-01-14,59,40.8,47.9,59,35.7,47,43,84.8,0.004,100,4.17,rain,0,0,11.6,8.1,184.9,1028.6,24.5,3.7,145.8,12.6,6,,2021-01-14T08:32:54,2021-01-14T18:40:21,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2021-01-15,59.1,41.1,49.8,59.1,40.7,49.2,45.1,85.2,0.004,100,4.17,rain,0,0,11.4,6.9,207.2,1026.7,49.2,4.1,131.1,11.3,6,,2021-01-15T08:32:41,2021-01-15T18:41:18,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
